SCORE: total_score         rms     cen_rms complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13  f_b-site f_combined-copy f_combined_buns-copy f_combined_buns2-copy f_contact-designable f_contact-designable_copy f_contact-hphobic_with_designable f_contact-hphobic_with_designable_copy                                 f_sasa                                 fa_atr                                 fa_dun                                fa_elec fa_intra_rep fa_intra_sol_xover4              fa_rep              fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb hbonds_int lk_ball_wtd          m1          m2          m3          m4          m5          m6          m7    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close rama_prepro         ref    sc_value side1_normalized side1_score side2_normalized side2_score     st_rmsd t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile yhh_planarity description 
SCORE:   -1125.383       7.907       7.907             -2.297            -26.638             -2.156      -24.799                 -2.007       675.192  1235.318     560.126             0.000     0.000     0.000        -649.878                3.000                 3.000                0.000                     6.000                             0.000                                  8.000                               1235.318                              -2686.647                                593.564                               -777.836        5.847             102.770             302.440            1697.717            0.340     -52.560     -27.002     -71.311    -271.611      7.000     -78.367      12.000      11.000    -784.410    -805.129    -179.486    -541.614    -649.878     490.000      56.000      41.987     -94.649       0.572                 -1.981     3.492      50.124     135.943       0.000           -2.292     -73.332           -1.568     -37.630       2.000          2824.211          2826.879          2829.156          2843.070          2856.010          2872.114          2875.273          2878.890         0.718 0.22.h_tag.vav-dh_2vrw_relaxed_0001833
SCORE:   -1129.772      11.503      11.503             -2.306            -16.677             -1.633      -13.504                 -1.322       625.352  1021.126     395.774             5.000     0.000     0.000        -545.314                2.000                 2.000                4.000                     8.000                             7.000                                 12.000                               1021.126                              -2787.180                                621.142                               -795.905        6.187              99.881             336.464            1725.682            0.034     -62.797     -35.935     -61.436    -263.925      1.000     -80.291       9.000      13.000    -772.771    -770.280    -400.139    -551.571    -545.314     490.000      41.000      51.191     -93.629       0.564                 -1.931     3.312      54.086     153.016       0.000           -2.234     -51.381           -1.543     -27.777      10.000          3616.298          3619.226          3622.283          3637.111          3651.084          3673.288          3677.443          3681.445         0.366 0.22.h_tag.vav-dh_2vrw_relaxed_0002153
SCORE:   -1132.902      10.990      10.990             -2.312            -14.456             -2.313      -13.786                 -2.205       372.010   625.091     253.082             3.000     0.000 591110.750        -621.155                2.000                 3.000                0.000                     2.000                             0.000                                  2.000                                625.091                              -2709.560                                613.063                               -805.317        5.830             106.653             315.766            1716.761            0.236     -61.039     -27.197     -83.696    -268.870      3.000     -72.728      11.000       2.000    -643.437    -664.300    -425.755    -596.388    -621.155     490.000      32.000      48.792     -94.329       0.569                 -2.598     3.457      50.929     127.793       0.000           -2.174     -26.085           -2.852     -57.044      12.000          1229.736          1231.457          1232.999          1241.895          1249.156          1257.848          1261.357          1264.381         0.788 0.22.h_tag.vav-dh_2vrw_relaxed_0001158
SCORE:   -1147.901      12.829      12.829             -2.343            -66.875             -2.138      -59.160                 -1.891      1875.824  3128.582    1252.758            17.000     0.000  5424.653        -796.572                2.000                 5.000               15.000                     3.000                            21.000                                  6.000                               3128.582                              -2759.660                                600.920                               -792.077        5.920             100.355             327.829            1714.906            0.181     -54.900     -31.011     -72.324    -265.882      9.000     -78.772      16.000       6.000    -682.606    -706.209   98479.258    -647.693    -796.572     490.000     117.000      41.878     -92.263       0.507                 -2.377     3.854      53.262     149.515       0.000           -2.737    -161.461           -2.011    -116.667      15.000           473.834           474.785           475.702           481.248           485.552           510.322           523.883           536.031         0.549 0.22.h_tag.vav-dh_2vrw_relaxed_0000681
SCORE:   -1150.335      21.049      21.049             -2.348            -32.161             -2.560      -27.433                 -2.184       883.097  1256.213     373.115             5.000     0.000     0.000        -684.305                2.000                 2.000                2.000                     6.000                             2.000                                 12.000                               1256.213                              -2742.283                                605.546                               -830.029        5.901             102.895             317.112            1740.763            0.150     -60.640     -37.050     -64.445    -271.922      5.000     -75.011       7.000      13.000    -811.277    -810.981   35926.305    -645.887    -684.305     490.000      57.000      44.290     -91.847       0.581                 -2.297     3.757      60.480     141.454       0.000           -2.773     -77.651           -1.838     -53.289      20.000          1661.411          1663.384          1665.691          1675.341          1682.702          1711.973          1716.693          1720.529         0.696 0.22.h_tag.vav-dh_2vrw_relaxed_0001532
SCORE:   -1156.063      10.830      10.830             -2.359            -27.766             -0.717       -3.481                 -0.090      2278.710  3870.098    1591.388            36.000     0.000     0.000        -407.935                6.000                21.000                0.000                     3.000                             0.000                                  8.000                               3870.098                              -3044.341                                644.048                               -897.846        5.901             106.307             451.866            1885.531            3.058     -76.044     -48.673     -82.680    -251.519     10.000     -77.208      11.000       9.000    -855.381    -887.607    -166.112    -372.231    -407.935     490.000     118.000      90.744     -86.298       0.552                 -0.697     3.367      91.592     127.792       0.000            0.216      12.329           -1.550     -94.551       6.000           606.862           608.154           609.276           617.351           624.280           652.844           664.266           674.813         1.396 0.22.h_tag.vav-dh_2vrw_relaxed_0000898
SCORE:   -1156.684       5.301       5.301             -2.361            -71.356             -2.233      -54.445                 -1.704      1719.440  3195.367    1475.927            28.000     0.000     0.000        -763.481                4.000                10.000                5.000                     4.000                             7.000                                  4.000                               3195.367                              -2839.738                                631.594                               -789.523        5.818             101.886             337.599            1754.842            0.262     -63.103     -29.861     -67.518    -254.800     13.000     -78.591      12.000       4.000    -645.994    -660.431    -688.568    -723.703    -763.481     490.000     109.000      46.662     -89.354       0.534                 -2.520     3.200      40.111     133.497       0.000           -2.858    -185.783           -2.021     -88.931       7.000          1758.856          1760.666          1762.231          1769.368          1775.954          1797.277          1806.906          1816.028         0.594 0.22.h_tag.vav-dh_2vrw_relaxed_0001318
SCORE:   -1166.912      11.423      11.423             -2.381            -34.401             -2.074      -28.388                 -1.711      1141.303  1658.961     517.657             3.000     0.000     0.000        -654.580                4.000                 2.000                4.000                     8.000                             4.000                                 10.000                               1658.961                              -2768.630                                616.014                               -781.517        5.811             104.101             324.730            1688.368            0.127     -51.848     -33.050     -67.185    -270.394      3.000     -78.207      18.000      13.000    -779.397    -776.538    -534.997    -648.175    -654.580     490.000      61.000      38.360     -92.864       0.552                 -1.822     4.056      55.039     139.655       0.000           -2.493     -77.289           -1.128     -33.846       3.000           630.352           631.534           632.858           648.040           661.806           683.668           687.463           691.106         0.649 0.22.h_tag.vav-dh_2vrw_relaxed_0000850
SCORE:   -1169.933      12.835      12.835             -2.388           -148.905             -2.500     -104.228                 -1.750      3831.207  5955.743    2124.536            33.000     0.000 51621.910        -987.469                7.000                29.000                0.000                     2.000                             0.000                                  2.000                               5955.743                              -2953.165                                631.846                               -823.260        5.931             105.201             399.134            1809.823            0.117     -73.954     -42.946     -65.879    -249.625     10.000     -81.153       8.000       3.000    -639.030    -660.913    -844.199    -926.873    -987.469     490.000     154.000      66.422     -87.376       0.562                 -1.404     3.617      67.027     117.305       0.000           -1.472    -119.222           -1.329     -97.013       4.000          1692.545          1694.984          1697.397          1705.435          1711.071          1734.903          1745.548          1756.383         1.119 0.22.h_tag.vav-dh_2vrw_relaxed_0001324
SCORE:   -1172.456      23.708      23.708             -2.393            -18.876             -2.007      -14.318                 -1.522       516.734   940.556     423.822             4.000     0.000     0.000        -579.721                1.000                 0.000                0.000                     2.000                             0.000                                  2.000                                940.556                              -2781.875                                606.040                               -817.708        6.007             101.714             315.205            1756.564            0.240     -60.510     -28.037     -71.615    -266.135      3.000     -71.463       7.000       3.000    -656.360    -726.274    -165.430    -615.396    -579.721     490.000      35.000      46.343     -91.220       0.615                 -2.701     4.236      51.074     128.196       0.000           -3.055     -54.996           -2.325     -39.530      26.000             4.769             4.953             5.152             9.765            13.615            39.619            42.493            45.538         0.728 0.22.h_tag.vav-dh_2vrw_relaxed_0000036
